url,type,name,address,rating,number_reviews,last_reviewed,lat,lng
us/best-western-premier-crown-chase-inn-amp-suites,Hotel,Best Western Premier Crown Chase Inn & Suites,"2450 Brinker Road, Denton, TX 76208, USA",9.3,155,30 July 2019,33.1829681,-97.1000245
us/seascape-2112,Holiday home,Seascape 2112,"10811 Termini San Luis Pass Road, Galveston, 77550, USA",-1.0,-1,,29.24222,-94.8715578
us/comfort-suites-dfw-turnpike,Hotel,Comfort Suites West Dallas-Cockrell Hill,"4275 Dallas Fort Worth Turnpike, Dallas, TX 75211, USA",8.6,130,26 July 2019,32.76839001,-96.89745605
us/america-s-best-value-inn-houston,Motel,Americas Best Value Inn and Suites Houston/Northwest Brookhollow,"12170 N.W. Freeway, Houston, TX 77092, USA",7.3,112,22 July 2019,29.83415834,-95.48317954
us/quality-inn-i-10-east-near-att-center,Hotel,Quality Inn I-10 East near AT&T Center,"3939 E Houston St, San Antonio, 78220, USA",7.9,154,29 July 2019,29.4248685,-98.423337
us/drury-inn-suites-austin-north,Hotel,Drury Inn and Suites Austin North,"6711 North IH 35 , Austin, TX 78752-4307, USA",9.2,846,30 July 2019,30.32842337,-97.70500392
us/dormigo-ninth-street-apartment-8,Apartment,Dormigo Ninth Street Apartment 8,"120 9th Street Apt. 1213, San Antonio, TX 78215, USA",10.0,-1,24 July 2019,29.435029,-98.4828317
us/sheraton-stonebriar,Hotel,Sheraton Hotel Stonebriar,"5444 State Highway 121, The Colony, TX 75034, USA",8.1,15,11 June 2018,33.08698084,-96.84065411
us/beautiful-two-story-in-central-galveston-short-walk-to-beach-near-downtown-seas,Holiday home,"Beautiful two-story in Central Galveston, short walk to beach, near downtown! | Seas the Breeze","Galveston, 77550, USA",-1.0,-1,,29.288149,-94.796847
us/towneplace-suites-by-marriott-houston-westchase,Hotel,TownePlace Suites by Marriott Houston Westchase,"10610 Westpark Drive, Westchase, Houston, TX 77042, USA",8.5,34,4 July 2019,29.72182998,-95.56328237
us/sleep-inn-dallas,Hotel,Sleep Inn Dallas Love Field-Medical District,"1165 Empire Central Place, Dallas, TX 75247, USA",8.9,573,27 July 2019,32.823725,-96.875757
us/fleetwood-southwind-37fp-bath-amp-1-47-2-rv-w-47-bunks-patio-7kw-gen,Campsite,"Fleetwood Southwind 37FP Bath & 1/2 RV W/ Bunks, Patio, 7KW Gen","9335 N. Central Expressway ,, Dallas, TX 75231, USA",-1.0,-1,,32.875421,-96.770655
us/single-family-home-college-station,Holiday home,Single Family Home,"305 Woodland Spring Drive, College Station, TX 77845, USA",-1.0,-1,4 December 2018,30.56404745,-96.25515775
us/stylish-1br-near-barton-creek-2534-by-wanderjaunt,Apartment,Stylish 1BR near Barton Creek #2534 by WanderJaunt,"Austin, 78746, USA",-1.0,-1,,30.2602,-97.8106
us/dawn-933-apartment,Apartment,Dawn 933 Condo,"Galveston, 77551, USA",8.9,8,17 July 2018,29.262161,-94.83562
us/red-roof-inn-and-conference-center-lubbock,Hotel,Red Roof Inn & Conference Center Lubbock,"6624 Interstate 27, Lubbock, TX 79404, USA",6.7,873,28 July 2019,33.53208072,-101.84586614
us/restored-1930s-uptown-bungalow-2-min-to-magnolia,Holiday home,Restored 1930s Uptown Bungalow 2 min. to Magnolia,"2219 Washington Avenue, Waco, 76701, USA",-1.0,-1,18 July 2019,31.543407,-97.149338
us/chateau-on-the-river-wwd301302-condo,Apartment,Chateau on The River WWD301302 Condo,"New Braunfels, 78130, USA",-1.0,-1,,29.709122,-98.110345
us/hilton-houston-southwest,Hotel,Hilton Houston Galleria Area,"6780 Southwest Freeway, Houston, TX 77074-2102, USA",8.0,299,30 July 2019,29.71443333,-95.50311238
us/jw-marriott-san-antonio-hill-country-resort,Resort,JW Marriott San Antonio Hill Country Resort & Spa,"23808 Resort Parkway, San Antonio, TX 78261, USA",9.0,324,30 July 2019,29.66642217,-98.40095758
us/travis-landing-hudson-bend,Holiday home,Travis Landing @ Hudson Bend,"5005 McCormick Mountain Dr, Austin, 78734, USA",-1.0,-1,,30.408777,-97.9190496
us/salado-1991-north-stagecoach-road,Hotel,Holiday Inn Express of Salado-Belton,"1991 North Stagecoach Road, Salado, TX 76571, USA",9.2,116,30 July 2019,30.96251995,-97.52780601
us/kilgore-3505-highway-259-north,Hotel,Executive Inn Kilgore,"3505 Highway 259 North, Kilgore, TX 75662, USA",7.2,32,10 July 2019,32.4164663,-94.84741151
us/casa-del-mar-214,Apartment,Casa Del Mar 214,"Galveston, TX 77550, USA",8.5,11,22 June 2019,29.26656,-94.8272
us/remodeled-oceanside-condo-galveston,Holiday home,Remodeled Oceanside Condo,"6300 Seawall Boulevard, Galveston, 77551, USA",-1.0,-1,,29.265617,-94.829628
us/dawn-225-vista-perfecta-condo,Apartment,Dawn 225-Vista Perfecta Condo,"Galveston, 77551, USA",6.6,-1,22 July 2019,29.262204,-94.835448
us/dormigo-algarita-apartment-1,Apartment,Dormigo Algarita Apartment 1,"1222 Algarita Avenue Apt. 102, Austin, TX 78704, USA",-1.0,-1,,30.2380335,-97.741649
us/redawning-beachfront-feel-bff,Holiday home,Beachfront Feel (#BFF),"Galveston, TX 77554, USA",4.5,-1,8 July 2019,29.2019,-94.938434
us/candlewood-suites-houston-by-the-galleria,Hotel,Candlewood Suites Houston Near The Galleria,"4900 Loop Central Drive, Houston, TX 77081, USA",8.3,50,5 July 2019,29.72508,-95.4579
us/super-8-league-city-98933,Hotel,Super 8 by Wyndham League City-Kemah Area,"102 Hobbs Road, League City, TX 77573, USA",7.2,278,30 July 2019,29.50129759,-95.11552423
us/littlefield-lofts-507,Apartment,Littlefield Lofts #507,"Austin, 78701, USA",8.3,-1,30 May 2019,30.26758315,-97.74175715
us/housky1603,Apartment,Downtown Housky One-Bedroom 1603,"Downtown Houston, Houston, TX 77002, USA",-1.0,-1,,29.752173,-95.368531
us/four-points-by-sheraton-houston-hobby-airport,Hotel,Four Points by Sheraton Houston Hobby Airport,"8720 Gulf Freeway, Houston, TX 77017, USA",7.5,87,25 July 2019,29.66423835,-95.25982529
us/seascape-1321-room,Apartment,Seascape 1321 Hotel Room,"Galveston, 77554, USA",-1.0,-1,,29.24222,-94.871558
us/private-rural-oasis-for-relaxation-on-22-acres,Holiday home,22 Acres Private Rural Oasis for Relaxation,"9008 Pecan Valley Dr, Pilot Point, 76258, USA",-1.0,-1,,33.32933,-96.91092
us/parker-river-haus-condo,Apartment,Parker River Haus Condo,"New Braunfels, 78130, USA",9.5,-1,15 February 2018,29.736378,-98.104221
us/fairfield-inn-suites-by-marriott-brownsville-north,Hotel,Fairfield Inn & Suites by Marriott Brownsville North,"804 East Morrison Road, Brownsville, 78526, USA",9.4,43,22 July 2019,25.966278,-97.50215
us/mimosa-riverwalk,Hotel,SpringHill Suites by Marriott San Antonio Downtown-Riverwalk Area,"524 South St. Mary's Street, San Antonio, TX 78205, USA",8.9,150,30 July 2019,29.42027811,-98.49076867
us/afterglow-luxury-vacation-home,Holiday home,Afterglow Luxury Vacation Home,"7803 Afterglow Vale, San Antonio, TX 78252, USA",-1.0,-1,,29.352725,-98.6417859
us/home2-suites-by-hilton-baylor-scott-white-dallas,Hotel,Home2 Suites By Hilton Baylor Scott & White Dallas,"3301 Gaston Avenue, Dallas, TX 75246, USA",8.9,190,29 July 2019,32.78926224,-96.78211352
us/luxury-apartment-near-bailey-hutchison-convention-center,Apartments,Modern upscale condo in Downtown,"500 S Ervay St, Dallas, TX 75201, USA",-1.0,-1,14 July 2019,32.77728289,-96.79563589
us/bryan-1920-austins-colony-parkway-texas,Hotel,Best Western Premier Bryan College Station,"1920 Austin's Colony Parkway, Bryan, TX 77803, USA",9.0,138,30 July 2019,30.67032868,-96.33401513
us/travelodge-houston-hobby-airport,Hotel,Travelodge by Wyndham Houston Hobby Airport,"8850 Airport Blvd., Houston, 77061, USA",6.1,126,30 July 2019,29.652539,-95.260096
us/beach-time-galveston,Holiday home,Beach Time,"23005 Gulf Drive, Galveston, TX 77554, USA",10.0,-1,11 August 2018,29.129205,-95.057627
us/go-with-the-flow-cw-b103-condo,Apartment,Go with the Flow! CW B103 Condo,"New Braunfels, 78130, USA",-1.0,-1,,29.703313,-98.117162
us/the-abbey-111,Apartment,The Abbey 111,"4928 4928 Live Oak #111, Dallas, TX 75206, USA",-1.0,-1,,32.8225166,-96.7761686
us/the-holiday-inn-amarillo-west-medical-center,Hotel,The Holiday Inn Amarillo West Medical Center,"8231 Amarillo Boulevard West, Amarillo, TX 79124, USA",8.5,93,8 July 2019,35.19025887,-101.93243444
us/super-8-longview,Motel,Super 8 by Wyndham Longview/North,"203 North Spur 63, Longview, TX 75601, USA",7.1,145,26 July 2019,32.50055987,-94.75087711
us/fairfield-inn-austin,Hotel,Fairfield Inn and Suites by Marriott Austin Northwest/The Domain Area,"11201 North Mopac Expressway, Austin, TX 78759, USA",8.7,154,26 July 2019,30.39991615,-97.72901729
us/intown-suites-extended-stay-dallas-tx-brookriver-drive,Hotel,InTown Suites Extended Stay Dallas TX - Brookriver Drive,"8201 Brookriver Drive, Dallas, TX 75247, USA",-1.0,-1,,32.823551,-96.869068
us/eighty-five-fourty-interstate-fourty-inn-and-suites-amarillo,Hotel,Drury Inn and Suites Amarillo,"8540 West Interstate 40, Amarillo, TX 79106, USA",9.3,1074,30 July 2019,35.18793158,-101.93628437
us/littlefield-lofts-707,Apartment,Littlefield Lofts #707,"Austin, 78701, USA",-1.0,-1,,30.26758323,-97.74175723
us/38-salina-st-home-home,Holiday home,38 Salina St Home,"Austin, 78702, USA",-1.0,-1,,30.251626,-97.728094
us/oyo-waco-baylor,Hotel,OYO Hotel Waco Baylor,"500 North Interstate 35 Frontage Road, Waco, TX 76704, USA",4.3,5,30 July 2019,31.561627,-97.118055
us/seven-on-the-green-a-retreat-away-from-home,Apartment,Seven on The Green- A Retreat Away From Home,"707 Centerbrook Place, Round Rock, TX 78665, USA",-1.0,-1,,30.57223415,-97.67975855
us/palace-inn-houston1234,Motel,Regency Inn,"643 West Little York Road, Houston, TX 77091, USA",7.9,6,23 June 2019,29.8693618,-95.4109119
us/desirable-barton-hills-suites-by-sonder,Aparthotel,Desirable Barton Hills Suites by Sonder,"Austin, TX 78746, USA",7.8,5,20 July 2019,30.260927,-97.788532
us/holiday-inn-express-suites-fort-worth-i-20,Hotel,Holiday Inn Express Hotel and Suites Fort Worth/I-20,"4609 Citylake Boulevard West, Fort Worth, TX 76132, USA",8.5,52,29 July 2019,32.68099779,-97.41168782
us/sea-deuce,Apartment,Sea Deuce by the Ocean,"9420 Seawall Boulevard, Galveston, TX 77554, USA",10.0,5,28 July 2019,29.24841,-94.858681
us/beach-house-galveston1,Holiday home,Beach House,"23165 Gulf Fwy, Galveston, TX 77554, USA",-1.0,-1,,29.291411,-94.877158
us/sunset-hill,Holiday home,Sunset Hill,"Wimberley, TX 78676, USA",-1.0,-1,,29.9974362,-98.0986204
us/museum-district-2002,Apartment,Museum District 2002,"Houston, 77004, USA",-1.0,-1,,29.7263291,-95.3854441
us/courtyard-san-antonio-downtown-market-square,Hotel,Courtyard by Marriott San Antonio Downtown,"600 Santa Rosa South, San Antonio, TX 78204, USA",8.7,452,23 July 2019,29.42037857,-98.4987925
us/college-station,Hotel,Home2 Suites by Hilton College Station,"300 Texas Avenue South, College Station, TX 77840, USA",8.8,122,30 July 2019,30.629,-96.3373
us/a-sunny-sandbar-holiday-home,Holiday home,A Sunny Sandbar Holiday home,"Galveston, TX 77554, USA",-1.0,-1,,29.133527,-95.051355
